n,chrms,starts,ends
3750,1,78612500,79072500
3753,1,79085000,79305000
3754,1,79087500,79127500
3755,1,79305000,79665000
3756,1,79305000,79815000
3862,1,84395000,84595000
3863,1,84395000,84905000
3871,1,84615000,85095000
3872,1,84615000,85235000
3873,1,84617500,84902500
3886,1,84902500,85092500
3887,1,84902500,85217500
3888,1,84905000,85405000
3901,1,85412500,85722500
3925,1,85775000,86485000
3935,1,85982500,145727500
3936,1,85985000,145695000
3950,1,86175000,86485000
3955,1,86362500,86482500
3965,1,86807500,89717500
3966,1,86842500,86967500
3967,1,86845000,87205000
3976,1,87292500,87552500
3987,1,87595000,88415000
3993,1,87755000,88415000
3994,1,87785000,88415000
3995,1,87785000,88515000
4006,1,89462500,89827500
4007,1,89462500,89922500
4008,1,89555000,89825000
4011,1,89942500,90237500
4012,1,89945000,90065000
4015,1,89985000,90225000
4016,1,90095000,90455000
4017,1,90097500,90227500
4018,1,90272500,90457500
4033,1,91185000,91425000
4071,1,91632500,92392500
4077,1,91747500,92387500
4096,1,91977500,92392500
4108,1,92465000,93085000
4113,1,92777500,93067500
4117,1,92945000,93065000
4128,1,93217500,93282500
4131,1,93322500,93462500
4143,1,93492500,93527500
4157,1,93775000,94305000
4165,1,93902500,94082500
4166,1,93905000,94305000
4182,1,94097500,94282500
4203,1,94495000,94805000
4205,1,94525000,94935000
4206,1,94525000,95275000
4208,1,94527500,94802500
4239,1,94942500,95267500
4260,1,95322500,95507500
4283,1,96702500,97307500
4288,1,97437500,98522500
4289,1,97605000,98515000
4300,1,99255000,99945000
4305,1,99635000,99935000
4306,1,99655000,100165000
429,1,100272500,100502500
430,1,100275000,100605000
431,1,100277500,100922500
432,1,100277500,101332500
433,1,100922500,101327500
434,1,101382500,101757500
435,1,101777500,101822500
436,1,101777500,101902500
437,1,101985000,102905000
438,1,103575000,104055000
443,1,106565000,107685000
444,1,107505000,107685000
445,1,107602500,107687500
446,1,107745000,108075000
447,1,107825000,108285000
448,1,107827500,108072500
449,1,107972500,108072500
450,1,108322500,108667500
451,1,109052500,109107500
452,1,109372500,109442500
453,1,109372500,109652500
454,1,109807500,110072500
455,1,109822500,109942500
456,1,109957500,110072500
457,1,109982500,110017500
458,1,110037500,110072500
463,1,110087500,110167500
464,1,110087500,110317500
465,1,110092500,110527500
467,1,110182500,110317500
468,1,110197500,110527500
479,1,110317500,110522500
488,1,110597500,110647500
490,1,110747500,110857500
491,1,110747500,110997500
502,1,110877500,110952500
520,1,111072500,111157500
526,1,111172500,111307500
539,1,111327500,111537500
543,1,111422500,111767500
560,1,111762500,112142500
561,1,111767500,111877500
562,1,111767500,112297500
577,1,112027500,112292500
580,1,112052500,112197500
637,1,112935000,113345000
638,1,112937500,113007500
639,1,112937500,113162500
640,1,112937500,113252500
647,1,113047500,113252500
658,1,113262500,113347500
659,1,113262500,113587500
664,1,113352500,113587500
667,1,113422500,113582500
668,1,113682500,113992500
669,1,113682500,114227500
674,1,114375000,114825000
675,1,114377500,114447500
676,1,114522500,114822500
679,1,114885000,115215000
681,1,115522500,115657500
682,1,115682500,116012500
683,1,115682500,116137500
684,1,115685000,116315000
685,1,116152500,116257500
686,1,116152500,116312500
688,1,116352500,116522500
692,1,116907500,117027500
694,1,117102500,118207500
695,1,117112500,117602500
696,1,117117500,117362500
697,1,117122500,117217500
703,1,117282500,117362500
704,1,117282500,117597500
710,1,117905000,118205000
712,1,118065000,118445000
713,1,118077500,118212500
714,1,118077500,118292500
719,1,118695000,119535000
732,1,119827500,119907500
736,1,120162500,120212500
738,1,120485000,145095000
739,1,120505000,145115000
834,1,144917500,145057500
838,1,145112500,149237500
842,1,145417500,145542500
843,1,145417500,145587500
844,1,145422500,145457500
849,1,146575000,149235000
850,1,146642500,146717500
851,1,146752500,146862500
852,1,146755000,147365000
855,1,146967500,147362500
864,1,149932500,150142500
865,1,149937500,150017500
866,1,150047500,150142500
867,1,150537500,150587500
868,1,150985000,151125000
869,1,151067500,151222500
870,1,151072500,151127500
873,1,151567500,151707500
874,1,151567500,151807500
875,1,151905000,151965000
876,1,152032500,152157500
877,1,152035000,152415000
878,1,152162500,152432500
880,1,152627500,152897500
881,1,152845000,152895000
882,1,152845000,153165000
883,1,153327500,153457500
884,1,153327500,153542500
885,1,153482500,153542500
886,1,153482500,153722500
887,1,153482500,153962500
888,1,153647500,153717500
889,1,153647500,153957500
890,1,153775000,153955000
891,1,153962500,154242500
892,1,154157500,154242500
894,1,154457500,154522500
895,1,154537500,154852500
896,1,154637500,154852500
897,1,154645000,155035000
899,1,155067500,155142500
900,1,155222500,155567500
903,1,155902500,156037500
904,1,155907500,155957500
905,1,156062500,156097500
906,1,156062500,156192500
907,1,156117500,156287500
908,1,156127500,156192500
910,1,156357500,156412500
912,1,156422500,156577500
916,1,156772500,156832500
918,1,157062500,157132500
922,1,157162500,157462500
923,1,157167500,157337500
925,1,157337500,157462500
930,1,157932500,158092500
934,1,158475000,159045000
935,1,158477500,158967500
939,1,158762500,158967500
940,1,158795000,159045000
945,1,158987500,159022500
947,1,159105000,159185000
948,1,159132500,159167500
953,1,159767500,159862500
954,1,159767500,159977500
955,1,159807500,159857500
956,1,159907500,159977500
957,1,160017500,160052500
961,1,160067500,160222500
962,1,160067500,160262500
963,1,160075000,160345000
968,1,160167500,160222500
972,1,160397500,160517500
973,1,160397500,160577500
975,1,160517500,160577500
979,1,160652500,160737500
980,1,160652500,160922500
981,1,160697500,160737500
982,1,160697500,160802500
983,1,160697500,160922500
984,1,160747500,160802500
985,1,160747500,160922500
986,1,160807500,160847500
987,1,160807500,160922500
990,1,161167500,161357500
991,1,161197500,161262500
992,1,161197500,161352500
994,1,161505000,161715000
997,1,161615000,161705000
1000,1,161757500,162007500
1002,1,162027500,162362500
1003,1,162032500,162247500
1008,1,162592500,162772500
1011,1,162825000,163145000
1012,1,162827500,163287500
1013,1,163042500,163287500
1017,1,163377500,164757500
1018,1,163495000,164755000
1036,1,165362500,165562500
1037,1,165362500,165887500
1042,1,165572500,165882500
1044,1,165685000,166445000
1045,1,165687500,165882500
1046,1,165902500,166402500
1047,1,165902500,166447500
1058,1,166882500,167027500
1059,1,166885000,167415000
1060,1,167032500,167507500
1063,1,167037500,167092500
1064,1,167037500,167412500
1066,1,167232500,167507500
1067,1,167235000,167405000
1068,1,167237500,167312500
1071,1,167572500,167657500
1072,1,167685000,167905000
1076,1,168187500,182272500
1078,1,168315000,168535000
1079,1,168405000,169315000
1080,1,168405000,169515000
1081,1,168572500,169312500
1082,1,168572500,169512500
1087,1,169565000,169775000
1088,1,169572500,169677500
1089,1,169885000,170505000
1092,1,170505000,171455000
1094,1,170662500,170852500
1096,1,170935000,171195000
1101,1,171635000,171945000
1103,1,171772500,171952500
1104,1,171965000,172395000
1109,1,172312500,172362500
1110,1,172417500,172687500
1113,1,172577500,172687500
1116,1,172712500,172792500
1117,1,172712500,173172500
1118,1,172712500,173382500
1119,1,172715000,173795000
1120,1,172792500,173172500
1121,1,172792500,173387500
1129,1,173332500,173367500
1130,1,173402500,173792500
1131,1,173405000,174045000
1132,1,173405000,174715000
1137,1,174067500,174187500
1138,1,174075000,174705000
1141,1,174225000,174955000
1142,1,174227500,174707500
1149,1,174737500,174967500
1150,1,174742500,175097500
1154,1,174992500,175097500
1155,1,174992500,175292500
1158,1,175122500,175292500
1159,1,175125000,176045000
1161,1,175337500,176042500
1162,1,175445000,176045000
1171,1,176527500,176852500
1173,1,176865000,177145000
1174,1,176865000,177905000
1179,1,178002500,178152500
1183,1,178282500,178472500
1185,1,178497500,178972500
1186,1,178502500,179337500
1187,1,178512500,178722500
1188,1,178742500,178972500
1189,1,179052500,179337500
1195,1,179677500,179777500
1196,1,179685000,180145000
1197,1,179842500,180147500
1198,1,179852500,179922500
1199,1,180222500,180452500
1201,1,180482500,181122500
1202,1,180507500,180832500
1203,1,180852500,180887500
1204,1,180852500,181122500
1205,1,181002500,181107500
1206,1,181067500,181102500
1207,1,181162500,181392500
1211,1,181447500,181647500
1212,1,181447500,181907500
1213,1,181447500,182022500
1214,1,182055000,182755000
1215,1,182057500,182357500
1216,1,182057500,182562500
1217,1,182112500,182367500
1219,1,182417500,182752500
1220,1,182567500,182752500
1224,1,182822500,182857500
1225,1,182855000,186295000
1226,1,182925000,183595000
1227,1,182932500,183192500
1229,1,183252500,183592500
1230,1,183255000,183515000
1231,1,183445000,183785000
1232,1,183445000,183875000
1236,1,183622500,183657500
1237,1,183622500,183887500
1238,1,183622500,184192500
1239,1,183625000,184025000
1240,1,184047500,184192500
1241,1,184055000,184635000
1245,1,184772500,184952500
1246,1,184772500,185147500
1247,1,184775000,185665000
1251,1,185782500,186182500
1255,1,186302500,186337500
1256,1,186375000,186955000
1257,1,186452500,186957500
1258,1,186577500,186957500
1269,1,189702500,189787500
1273,1,192445000,192785000
1274,1,192445000,192985000
1275,1,192447500,192577500
1276,1,192487500,192522500
1277,1,192487500,192577500
1278,1,192522500,192577500
1281,1,192785000,192975000
1282,1,192785000,193095000
1301,1,196117500,196627500
1302,1,196125000,196285000
1307,1,197495000,198435000
1308,1,197497500,197892500
1309,1,197585000,197845000
1312,1,198055000,198335000
1313,1,198735000,199515000
1314,1,198745000,199215000
1315,1,198745000,199435000
1319,1,199655000,200485000
1320,1,199657500,200457500
1322,1,200105000,200455000
1323,1,200247500,200452500
1324,1,200592500,200772500
1325,1,200592500,200937500
1326,1,200945000,201085000
1327,1,200947500,201012500
1328,1,201415000,201485000
1329,1,201532500,201677500
1330,1,201532500,201752500
1331,1,201677500,201757500
1332,1,201862500,202092500
1333,1,201867500,201942500
1334,1,201982500,202092500
1335,1,202157500,202287500
1336,1,202157500,202687500
1339,1,202462500,202537500
1340,1,203007500,203187500
1341,1,203242500,203307500
1342,1,203242500,203452500
1343,1,203242500,203672500
1344,1,203307500,203412500
1345,1,203307500,203457500
1346,1,203315000,203675000
1347,1,203472500,203672500
1348,1,203832500,204097500
1349,1,203835000,204335000
1350,1,204132500,204332500
1351,1,204405000,204775000
1352,1,204417500,204472500
1353,1,204537500,204732500
1354,1,204537500,204777500
1355,1,204942500,205227500
1356,1,204947500,205027500
1357,1,205247500,205292500
1358,1,205247500,205457500
1359,1,205322500,205457500
1361,1,205367500,205452500
1362,1,205367500,205492500
1363,1,205497500,205622500
1364,1,205545000,206215000
1365,1,205557500,205607500
1366,1,205557500,205677500
1367,1,205632500,205677500
1368,1,205762500,205877500
1369,1,205762500,206232500
1370,1,206232500,206307500
1371,1,206675000,206755000
1372,1,206722500,206757500
1373,1,206805000,207085000
1374,1,206805000,207155000
1375,1,206902500,207087500
1376,1,206902500,207157500
1377,1,206912500,206977500
1378,1,206982500,207087500
1379,1,206982500,207157500
1380,1,207262500,207572500
1381,1,207262500,207672500
1382,1,207592500,207672500
1383,1,208002500,208037500
1384,1,208002500,208137500
1385,1,208077500,208137500
1386,1,208192500,208417500
1387,1,208302500,208417500
1389,1,209242500,209372500
1390,1,209742500,209797500
1391,1,209747500,209867500
1392,1,210035000,210575000
1393,1,210037500,210157500
1394,1,210037500,210487500
1405,1,210315000,210575000
1406,1,210322500,210487500
1426,1,210582500,211307500
1434,1,210755000,211125000
1437,1,210762500,211307500
1478,1,211497500,211652500
1479,1,211497500,211687500
1480,1,211497500,211827500
1487,1,211692500,211827500
1497,1,211755000,211825000
1504,1,211855000,212475000
1505,1,211857500,212627500
1507,1,211872500,212007500
1508,1,211875000,212205000
1524,1,212237500,212542500
1525,1,212237500,212627500
1526,1,212245000,212465000
1542,1,212547500,212627500
1553,1,212992500,213167500
1560,1,213295000,214295000
1564,1,213415000,214295000
1567,1,213545000,214505000
1568,1,213547500,214292500
1575,1,214385000,215695000
1576,1,214387500,214502500
1580,1,214437500,214502500
1581,1,214502500,214762500
1586,1,214805000,215695000
1604,1,218515000,219735000
1605,1,218515000,219835000
1606,1,218515000,219985000
1607,1,218517500,218692500
1611,1,220395000,220945000
1612,1,220472500,220952500
1614,1,220985000,221375000
1615,1,221047500,221377500
1616,1,221047500,221612500
1621,1,221652500,222342500
1622,1,221655000,222185000
1623,1,221655000,222625000
1626,1,221915000,222345000
1627,1,221927500,222012500
1629,1,222265000,222625000
1630,1,222635000,223265000
1631,1,222637500,222807500
1633,1,222967500,223262500
1635,1,223307500,223872500
1636,1,223317500,223417500
1638,1,223885000,224235000
1639,1,223885000,224515000
1640,1,223887500,223937500
1641,1,224302500,224517500
1642,1,224305000,224645000
1646,1,224702500,224827500
1647,1,224702500,225037500
1648,1,224702500,225112500
1649,1,224827500,225037500
1650,1,224887500,225037500
1658,1,225657500,226167500
1659,1,225665000,226095000
1662,1,225967500,226097500
1663,1,226175000,226305000
1664,1,226255000,226305000
1665,1,226315000,226385000
1666,1,226315000,226515000
1667,1,226827500,227012500
1668,1,226922500,227012500
1669,1,227105000,227625000
1675,1,227975000,228365000
1676,1,228292500,228327500
1677,1,228807500,229362500
1679,1,229392500,229617500
1680,1,229395000,230445000
1681,1,229555000,231965000
1683,1,229697500,229762500
1684,1,229795000,230445000
1685,1,229852500,230447500
1686,1,230775000,231345000
1690,1,231057500,231347500
1693,1,231497500,231722500
1694,1,231555000,231665000
1704,1,232005000,232765000
1705,1,232015000,233375000
1712,1,232767500,233377500
1717,1,233532500,234202500
1718,1,233572500,233927500
1719,1,233935000,234205000
1726,1,234287500,234447500
1729,1,234632500,235147500
1730,1,234632500,235267500
1731,1,234635000,234865000
1732,1,234635000,235115000
1733,1,234637500,234742500
1734,1,234637500,234977500
1735,1,234742500,235107500
1736,1,234745000,234905000
1737,1,234745000,235145000
1738,1,234747500,234862500
1739,1,234747500,234977500
1740,1,234867500,235147500
1741,1,234905000,234975000
1742,1,234977500,235147500
1743,1,235112500,235147500
1745,1,235417500,235577500
1746,1,235677500,235937500
1747,1,235677500,236142500
1748,1,236045000,236325000
1749,1,236265000,237035000
1750,1,236265000,237555000
1751,1,236265000,237725000
1752,1,236272500,236652500
1753,1,236775000,237545000
1754,1,236925000,237725000
1755,1,237975000,240055000
1777,1,240895000,241645000
1783,1,241695000,242015000
1784,1,241695000,242165000
1785,1,241697500,241792500
1786,1,241775000,242165000
1789,1,242615000,243485000
1792,1,243507500,244432500
1793,1,243515000,243905000
1795,1,243865000,244435000
1799,1,244615000,245135000
1800,1,244617500,244817500
1801,1,244767500,244962500
1802,1,244767500,245207500
1803,1,244962500,245207500
1807,1,245317500,246167500
1808,1,245317500,246612500
1810,1,246055000,246165000
1811,1,246177500,246612500
1816,1,246662500,246862500
1817,1,246662500,246917500
1823,1,246852500,246917500
1825,1,247552500,247652500
1826,1,247555000,247735000
1833,1,248405000,248855000
1835,1,248567500,249102500
5249,2,245000,635000
5294,2,265000,675000
5454,2,712500,1547500
5493,2,855000,1555000
5323,2,3632500,3697500
5329,2,3775000,6915000
5343,2,4005000,5505000
5344,2,4007500,6912500
5360,2,4405000,6915000
5480,2,7562500,8827500
5490,2,8442500,8822500
5497,2,8547500,8682500
5498,2,8547500,8827500
5503,2,8677500,8822500
5515,2,9012500,9277500
5516,2,9285000,9515000
5531,2,9952500,10187500
5532,2,9955000,10575000
4571,2,10212500,10572500
4572,2,10215000,10815000
4573,2,10222500,10257500
4579,2,10272500,10557500
4592,2,10975000,11725000
4593,2,10977500,11037500
4594,2,10977500,11262500
4599,2,11272500,11587500
4600,2,11277500,11722500
4608,2,11375000,11585000
4615,2,11615000,11915000
4616,2,11617500,11722500
4621,2,11832500,11922500
4625,2,11882500,11922500
4632,2,11967500,13147500
4633,2,11972500,12857500
4691,2,13185000,15305000
4692,2,13192500,15722500
4792,2,15045000,15725000
4808,2,15775000,16465000
4809,2,15785000,16935000
4836,2,16807500,16937500
4841,2,16955000,17755000
4842,2,16955000,17855000
4843,2,16957500,17072500
4844,2,16957500,17492500
4873,2,17652500,17852500
4892,2,17902500,18012500
4897,2,18032500,18332500
4898,2,18032500,18557500
4915,2,18702500,20062500
4922,2,18935000,19565000
4923,2,18935000,20065000
4927,2,19065000,19565000
4942,2,19557500,20062500
4967,2,20152500,20427500
4971,2,20162500,20292500
4978,2,20207500,20292500
4983,2,20327500,20432500
4986,2,20352500,20417500
4994,2,20642500,20847500
5007,2,21267500,21342500
5008,2,21267500,21537500
5195,2,23425000,23685000
5251,2,24047500,24302500
5257,2,24112500,24147500
5279,2,24632500,25057500
5280,2,24632500,25352500
5293,2,25197500,25352500
5295,2,26172500,26367500
5296,2,26175000,26555000
5297,2,26175000,26805000
5298,2,26212500,26367500
5299,2,26842500,26967500
5300,2,27062500,27147500
5301,2,27182500,27502500
5302,2,27192500,27307500
5303,2,27192500,27422500
5304,2,27322500,27502500
5305,2,29042500,29417500
5306,2,29182500,29417500
5307,2,29185000,30065000
5308,2,30147500,30297500
5309,2,30385000,31555000
5310,2,30392500,30932500
5311,2,30415000,31395000
5312,2,30427500,30932500
5313,2,30937500,31392500
5314,2,30937500,31557500
5315,2,30937500,31747500
5316,2,31082500,31557500
5317,2,32795000,33595000
5318,2,32997500,33597500
5319,2,34235000,35635000
5320,2,34325000,34795000
5321,2,34327500,35632500
5322,2,34692500,34742500
5324,2,36575000,36735000
5325,2,36577500,36892500
5326,2,37622500,38502500
5327,2,37625000,38115000
5328,2,37642500,38057500
5330,2,37902500,38057500
5331,2,38112500,38502500
5332,2,38212500,38502500
5333,2,38542500,38737500
5334,2,38542500,38962500
5335,2,38557500,38597500
5336,2,38802500,38952500
5337,2,38832500,38892500
5338,2,38832500,38947500
5339,2,39172500,39457500
5340,2,39292500,39452500
5341,2,39355000,39715000
5342,2,39612500,39957500
5345,2,40132500,40782500
5346,2,41645000,41925000
5347,2,41645000,42005000
5348,2,42097500,42312500
5349,2,42325000,42425000
5350,2,42332500,42397500
5351,2,42732500,42892500
5352,2,43055000,43835000
5353,2,43177500,43457500
5354,2,43177500,43712500
5355,2,43257500,43457500
5356,2,43352500,43457500
5357,2,43357500,43712500
5358,2,43457500,43712500
5359,2,43632500,43707500
5361,2,44265000,44705000
5362,2,44275000,45185000
5363,2,44475000,45185000
5364,2,44615000,45185000
5365,2,44707500,45182500
5366,2,44795000,45185000
5367,2,45205000,45805000
5368,2,45207500,45722500
5369,2,45867500,46162500
5370,2,45872500,46002500
5371,2,45877500,45957500
5372,2,46235000,46875000
5373,2,46237500,46592500
5374,2,46237500,46687500
5375,2,46282500,46687500
5376,2,46292500,46592500
5377,2,46687500,46877500
5378,2,46877500,47112500
5379,2,46882500,47002500
5380,2,47217500,47552500
5381,2,47402500,47537500
5382,2,47562500,47617500
5383,2,47562500,47992500
5384,2,47672500,47997500
5385,2,47745000,47995000
5386,2,48082500,48337500
5387,2,48085000,48645000
5388,2,48125000,48555000
5389,2,48337500,48647500
5390,2,49172500,49717500
